volcano_name;eruption_number;eruption_category;area_of_activity;vei;start_year;start_month;start_day;evidence_method_dating;end_year;end_month;end_day;latitude;longitude
Vesuvius;13358;Confirmed Eruption;Summit and upper NW and south flanks;3;1870;12;0;Historical Observations;1872;4;30;40.821;14.426
Purace;11323;Confirmed Eruption;NA;2;1870;10;0;Historical Observations;NA;NA;NA;Feb.32;-76.4
Ruang;16481;Confirmed Eruption;NA;3;1870;8;27;Historical Observations;1870;8;28;2.Mar;125.37
Lamongan;16085;Confirmed Eruption;Summit and SW flank;2;1870;8;18;Historical Observations;1871;2;5;-7.981;113.341
Gede-Pangrango;15653;Confirmed Eruption;NA;2;1870;8;0;Historical Observations;1870;10;3;-6.77;106.965
Raoul Island;14697;Confirmed Eruption;Denham caldera, Green Lake;3;1870;6;20;Historical Observations;1870;10;3;-29.27;-177.92
Izalco;10794;Uncertain Eruption;NA;2;1870;5;19;NA;NA;NA;NA;13.813;-89.633
Sumisujima;18333;Confirmed Eruption;18 km SW of Smith Rock;2;1870;5;0;Historical Observations;NA;NA;NA;31.44;140.051
Tongariro;13553;Confirmed Eruption;Ngauruhoe (NW sub-crater);2;1870;4;0;Historical Observations;1870;8;0;-39.157;175.632
Lamongan;16084;Confirmed Eruption;NA;2;1870;3;2;Historical Observations;1870;3;5;-7.981;113.341
Misti, El;11773;Uncertain Eruption;NA;1;1870;3;0;NA;NA;NA;NA;-16.294;-71.409
Ceboruco;10383;Confirmed Eruption;Upper west flank;3;1870;2;21;Historical Observations;1875;0;0;21.125;-104.508
Fournaise, Piton de la;14289;Uncertain Eruption;NA;0;1870;2;1;NA;NA;NA;NA;-21.244;55.708
Mauna Loa;10197;Uncertain Eruption;Mokuaweoweo;0;1870;1;1;NA;1870;1;15;19.475;-155.608
Rainier;20499;Uncertain Eruption;NA;2;1870;0;0;NA;NA;NA;NA;46.853;-121.76
Baker;20464;Confirmed Eruption;Sherman Crater;2;1870;0;0;Historical Observations;NA;NA;NA;48.777;-121.813
Colima;10440;Confirmed Eruption;NE flank (El Volcancito);0;1870;0;0;Historical Observations;1871;0;0;19.514;-103.62
Izu-Oshima;18205;Confirmed Eruption;Mihara-yama;2;1870;0;0;Historical Observations;NA;NA;NA;34.724;139.394
